a,b,c,d,e,f,g,h,i,j,k,m,n
50,50,9,9,13,1,19,0,54.54545455,5.050505051,40.4040404,0,90
66.6,43.4,4,2,9,0,0,0,91.08910891,2.97029703,5.940594059,0,87
18.75,81.25,3,13,11,0,2,0,63.91752577,2.06185567,23.71134021,10.30927835,25
80,20,16,4,21,1,14,1,68.04123711,3.092783505,26.80412371,2.06185567,90
100,0,1,0,4,0,6,0,54,1,45,0,34
90,10,10,1,14,0,4,2,80.6122449,2.040816327,13.26530612,4.081632653,16
0,0,0,0,10,0,5,0,59.5959596,2.02020202,38.38383838,0,44
11.7,88.3,2,15,7,0,12,1,47.52475248,7.920792079,43.56435644,0.99009901,80
25,75,4,12,27,0,12,0,73.73737374,1.01010101,25.25252525,0,31
47,53,10,11,10,1,7,0,54,3,43,0,44
85,15,12,2,11,0,6,7,55.55555556,2.777777778,22.22222222,19.44444444,70
23,77,4,13,11,2,7,0,42.26804124,13.40206186,44.32989691,0,97
100,0,12,0,11,0,7,1,58.69565217,8.695652174,29.34782609,3.260869565,25
75,25,15,5,3,2,6,1,28.42105263,16.84210526,49.47368421,5.263157895,5
60,40,15,10,16,0,11,1,43.43434343,14.14141414,39.39393939,3.03030303,25
75,25,3,1,15,0,3,0,79.7979798,2.02020202,17.17171717,1.01010101,20
91,9,22,2,3,0,18,2,5.434782609,21.73913043,69.56521739,3.260869565,89
18.1,81.9,4,18,20,1,11,0,55.55555556,3.03030303,41.41414141,0,37
56,44,14,11,7,0,0,0,75.51020408,0,20.40816327,4.081632653,9
63,37,7,4,1,1,3,0,8.163265306,2.040816327,89.79591837,0,57
95,5,23,2,1,1,16,3,6.18556701,19.58762887,64.94845361,9.278350515,75
0,0,0,0,11,2,10,1,50.50505051,15.15151515,30.3030303,4.04040404,80
0,0,0,0,0,0,0,1,10,35,25,30,1
0,0,0,0,5,0,11,0,50,7,43,0,55
